#TYPE Microsoft.Win32.RegistryKey
"Property","PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","SubKeyCount","View","Handle","ValueCount","Name"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\.NETFramework","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft",".NETFramework","HKLM","Microsoft.PowerShell.Core\Registry","True","10","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","3","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\.NETFramework"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\AccountsControl","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","AccountsControl","HKLM","Microsoft.PowerShell.Core\Registry","True","2","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\AccountsControl"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Active Setup","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","Active Setup","HKLM","Microsoft.PowerShell.Core\Registry","True","5","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","2","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Active Setup"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\ActiveSync","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","ActiveSync","HKLM","Microsoft.PowerShell.Core\Registry","True","2","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","67","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\ActiveSync"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\ADs","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","ADs","HKLM","Microsoft.PowerShell.Core\Registry","True","1","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\ADs"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Advanced INF Setup","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","Advanced INF Setup","HKLM","Microsoft.PowerShell.Core\Registry","True","3","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Advanced INF Setup"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\ALG","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","ALG","HKLM","Microsoft.PowerShell.Core\Registry","True","1","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\ALG"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\AMSI","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","AMSI","HKLM","Microsoft.PowerShell.Core\Registry","True","2","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","1","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\AMSI"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Analog","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","Analog","HKLM","Microsoft.PowerShell.Core\Registry","True","2","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","1","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Analog"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\AppServiceProtocols","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","AppServiceProtocols","HKLM","Microsoft.PowerShell.Core\Registry","True","4","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\AppServiceProtocols"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\AppV","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","AppV","HKLM","Microsoft.PowerShell.Core\Registry","True","3","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\AppV"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\ASP.NET","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","ASP.NET","HKLM","Microsoft.PowerShell.Core\Registry","True","1","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\ASP.NET"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Assistance","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","Assistance","HKLM","Microsoft.PowerShell.Core\Registry","True","1","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Assistance"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\AuthHost","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","AuthHost","HKLM","Microsoft.PowerShell.Core\Registry","True","1","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\AuthHost"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\BidInterface","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","BidInterface","HKLM","Microsoft.PowerShell.Core\Registry","True","1","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\BidInterface"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\BitLockerCsp","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","BitLockerCsp","HKLM","Microsoft.PowerShell.Core\Registry","True","2","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\BitLockerCsp"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Cellular","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","Cellular","HKLM","Microsoft.PowerShell.Core\Registry","True","1","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Cellular"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Chkdsk","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","Chkdsk","HKLM","Microsoft.PowerShell.Core\Registry","True","2","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Chkdsk"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Clipboard","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","Clipboard","HKLM","Microsoft.PowerShell.Core\Registry","True","0","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","2","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Clipboard"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\ClipboardServer","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","ClipboardServer","HKLM","Microsoft.PowerShell.Core\Registry","True","0","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","1","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\ClipboardServer"
